,ID,Gender,Age,RT,BOT,PR,BR,Social_Rep,Prog_Beh,Score,A_rating,B_rating,C_rating,D_rating
0,36,male,24,7.13829279508,D,yes,Cooperate,High,Good,100.0,2.0,2.5,1.8,3.0
1,36,male,24,8.0715868526,D,yes,Cooperate,High,Good,200.0,2.0,2.5,1.8,3.0
2,36,male,24,3.69292244941,A,yes,Defect,High,Bad,150.0,2.0,2.5,1.8,3.0
3,36,male,24,21.0169818312,B,no,none,Low,Good,150.0,2.0,2.5,1.8,3.0
4,36,male,24,7.70918633367,C,no,none,Low,Bad,150.0,2.0,2.5,1.8,3.0
5,36,male,24,2.81049690754,C,no,none,Low,Bad,150.0,2.0,2.5,1.8,3.0
6,36,male,24,1.5221762978,C,no,none,Low,Bad,150.0,2.0,2.5,1.8,3.0
7,36,male,24,1.33679614002,C,no,none,Low,Bad,150.0,2.0,2.5,1.8,3.0
8,36,male,24,1.54816300013,C,no,none,Low,Bad,150.0,2.0,2.5,1.8,3.0
9,36,male,24,2.34586669896,D,yes,Defect,High,Good,100.0,2.0,2.5,1.8,3.0
10,36,male,24,13.0043897913,B,no,none,Low,Good,100.0,2.0,2.5,1.8,3.0
11,36,male,24,1.63764002275,B,no,none,Low,Good,100.0,2.0,2.5,1.8,3.0
12,36,male,24,5.18849262962,D,no,none,High,Good,100.0,2.0,2.5,1.8,3.0
13,36,male,24,1.91636559767,C,yes,Cooperate,Low,Bad,200.0,2.0,2.5,1.8,3.0
14,36,male,24,6.77848643034,D,no,none,High,Good,200.0,2.0,2.5,1.8,3.0
15,36,male,24,1.42398435398,A,yes,Defect,High,Bad,150.0,2.0,2.5,1.8,3.0
16,36,male,24,3.34522316398,C,yes,Cooperate,Low,Bad,250.0,2.0,2.5,1.8,3.0
17,36,male,24,10.3625216308,D,yes,Cooperate,High,Good,350.0,2.0,2.5,1.8,3.0
18,36,male,24,2.28698889261,C,yes,Cooperate,Low,Bad,450.0,2.0,2.5,1.8,3.0
19,36,male,24,3.58290413894,B,yes,Cooperate,Low,Good,550.0,2.0,2.5,1.8,3.0
20,36,male,24,4.03730604143,A,no,none,High,Bad,550.0,2.0,2.5,1.8,3.0
21,36,male,24,1.88990214572,B,yes,Cooperate,Low,Good,650.0,2.0,2.5,1.8,3.0
22,36,male,24,2.22770464311,D,yes,Cooperate,High,Good,750.0,2.0,2.5,1.8,3.0
23,36,male,24,2.62727059056,B,yes,Cooperate,Low,Good,850.0,2.0,2.5,1.8,3.0
24,36,male,24,1.24601870459,C,yes,Defect,Low,Bad,800.0,2.0,2.5,1.8,3.0
25,36,male,24,1.92756844359,C,no,none,Low,Bad,800.0,2.0,2.5,1.8,3.0
26,36,male,24,6.64374436779,B,yes,Defect,Low,Good,750.0,2.0,2.5,1.8,3.0
27,36,male,24,1.13769082814,D,yes,Defect,High,Good,700.0,2.0,2.5,1.8,3.0
28,36,male,24,1.47752246214,B,no,none,Low,Good,700.0,2.0,2.5,1.8,3.0
29,36,male,24,2.02555511307,B,no,none,Low,Good,700.0,2.0,2.5,1.8,3.0
