,ID,Gender,Age,RT,BOT,PR,BR,Social_Rep,Prog_Beh,Score,A_rating,B_rating,C_rating,D_rating
0,9,female,21,15.951061964,B,no,none,Low,Good,0.0,1.0,1.0,1.0,3.5
1,9,female,21,2.29697108269,A,yes,Defect,High,Bad,-50.0,1.0,1.0,1.0,3.5
2,9,female,21,2.48972296715,C,yes,Defect,Low,Bad,-100.0,1.0,1.0,1.0,3.5
3,9,female,21,2.87264204025,C,no,none,Low,Bad,-100.0,1.0,1.0,1.0,3.5
4,9,female,21,2.15384888649,C,yes,Defect,Low,Bad,-150.0,1.0,1.0,1.0,3.5
5,9,female,21,3.12227916718,B,no,none,Low,Good,-150.0,1.0,1.0,1.0,3.5
6,9,female,21,2.44749689102,A,yes,Defect,High,Bad,-200.0,1.0,1.0,1.0,3.5
7,9,female,21,1.90932393074,A,no,none,High,Bad,-200.0,1.0,1.0,1.0,3.5
8,9,female,21,4.24915599823,A,no,none,High,Bad,-200.0,1.0,1.0,1.0,3.5
9,9,female,21,3.58504486084,C,no,none,Low,Bad,-200.0,1.0,1.0,1.0,3.5
10,9,female,21,2.07370591164,C,yes,Defect,Low,Bad,-250.0,1.0,1.0,1.0,3.5
11,9,female,21,3.16260004044,D,yes,Cooperate,High,Good,-150.0,1.0,1.0,1.0,3.5
12,9,female,21,4.86636996269,C,yes,Defect,Low,Bad,-200.0,1.0,1.0,1.0,3.5
13,9,female,21,2.6831638813,B,no,none,Low,Good,-200.0,1.0,1.0,1.0,3.5
14,9,female,21,1.48820281029,A,no,none,High,Bad,-200.0,1.0,1.0,1.0,3.5
15,9,female,21,1.77449607849,B,yes,Cooperate,Low,Good,-100.0,1.0,1.0,1.0,3.5
16,9,female,21,2.00605916977,C,no,none,Low,Bad,-100.0,1.0,1.0,1.0,3.5
17,9,female,21,1.72798991203,A,no,none,High,Bad,-100.0,1.0,1.0,1.0,3.5
18,9,female,21,4.75638079643,D,yes,Defect,High,Good,-150.0,1.0,1.0,1.0,3.5
19,9,female,21,3.37992310524,B,yes,Defect,Low,Good,-200.0,1.0,1.0,1.0,3.5
20,9,female,21,2.51310300827,B,no,none,Low,Good,-200.0,1.0,1.0,1.0,3.5
21,9,female,21,2.56569194794,D,yes,Cooperate,High,Good,-100.0,1.0,1.0,1.0,3.5
22,9,female,21,3.05401396751,C,yes,Defect,Low,Bad,-150.0,1.0,1.0,1.0,3.5
23,9,female,21,3.54415583611,A,no,none,High,Bad,-150.0,1.0,1.0,1.0,3.5
24,9,female,21,1.78678703308,B,yes,Cooperate,Low,Good,-50.0,1.0,1.0,1.0,3.5
25,9,female,21,6.59807014465,C,yes,Defect,Low,Bad,-100.0,1.0,1.0,1.0,3.5
26,9,female,21,2.3262720108,B,no,none,Low,Good,-100.0,1.0,1.0,1.0,3.5
27,9,female,21,1.95422101021,D,yes,Cooperate,High,Good,0.0,1.0,1.0,1.0,3.5
28,9,female,21,2.48763799667,D,yes,Cooperate,High,Good,100.0,1.0,1.0,1.0,3.5
29,9,female,21,2.12908792496,A,no,none,High,Bad,100.0,1.0,1.0,1.0,3.5
30,9,female,21,1.60870909691,B,yes,Cooperate,Low,Good,200.0,1.0,1.0,1.0,3.5
31,9,female,21,2.28313708305,A,no,none,High,Bad,200.0,1.0,1.0,1.0,3.5
32,9,female,21,1.73259687424,C,no,none,Low,Bad,200.0,1.0,1.0,1.0,3.5
33,9,female,21,1.6092569828,B,no,none,Low,Good,200.0,1.0,1.0,1.0,3.5
34,9,female,21,1.12287402153,D,yes,Cooperate,High,Good,300.0,1.0,1.0,1.0,3.5
35,9,female,21,2.22191810608,C,no,none,Low,Bad,300.0,1.0,1.0,1.0,3.5
36,9,female,21,2.71853804588,B,no,none,Low,Good,300.0,1.0,1.0,1.0,3.5
37,9,female,21,1.24469709396,C,no,none,Low,Bad,300.0,1.0,1.0,1.0,3.5
38,9,female,21,0.827347993851,D,yes,Cooperate,High,Good,400.0,1.0,1.0,1.0,3.5
39,9,female,21,1.54696512222,C,no,none,Low,Bad,400.0,1.0,1.0,1.0,3.5
40,9,female,21,1.6543469429,A,no,none,High,Bad,400.0,1.0,1.0,1.0,3.5
41,9,female,21,2.34285187721,D,yes,Defect,High,Good,350.0,1.0,1.0,1.0,3.5
42,9,female,21,1.33355212212,C,no,none,Low,Bad,350.0,1.0,1.0,1.0,3.5
43,9,female,21,1.13080906868,B,no,none,Low,Good,350.0,1.0,1.0,1.0,3.5
44,9,female,21,1.27874207497,A,no,none,High,Bad,350.0,1.0,1.0,1.0,3.5
45,9,female,21,2.13521409035,B,no,none,Low,Good,350.0,1.0,1.0,1.0,3.5
46,9,female,21,1.39287900925,C,no,none,Low,Bad,350.0,1.0,1.0,1.0,3.5
47,9,female,21,1.45872998238,D,yes,Cooperate,High,Good,450.0,1.0,1.0,1.0,3.5
48,9,female,21,1.22635507584,A,no,none,High,Bad,450.0,1.0,1.0,1.0,3.5
49,9,female,21,0.763045072556,A,no,none,High,Bad,450.0,1.0,1.0,1.0,3.5
50,9,female,21,0.860417127609,D,yes,Cooperate,High,Good,550.0,1.0,1.0,1.0,3.5
51,9,female,21,1.56223797798,B,no,none,Low,Good,550.0,1.0,1.0,1.0,3.5
52,9,female,21,2.02855992317,A,no,none,High,Bad,550.0,1.0,1.0,1.0,3.5
53,9,female,21,0.56019115448,C,no,none,Low,Bad,550.0,1.0,1.0,1.0,3.5
54,9,female,21,1.66540980339,D,yes,Defect,High,Good,500.0,1.0,1.0,1.0,3.5
55,9,female,21,1.76482582092,C,no,none,Low,Bad,500.0,1.0,1.0,1.0,3.5
56,9,female,21,1.25703811646,A,no,none,High,Bad,500.0,1.0,1.0,1.0,3.5
57,9,female,21,0.81022810936,C,no,none,Low,Bad,500.0,1.0,1.0,1.0,3.5
58,9,female,21,0.867508888245,D,yes,Defect,High,Good,450.0,1.0,1.0,1.0,3.5
59,9,female,21,1.55189204216,D,yes,Cooperate,High,Good,550.0,1.0,1.0,1.0,3.5
60,9,female,21,1.17253279686,D,yes,Cooperate,High,Good,650.0,1.0,1.0,1.0,3.5
61,9,female,21,1.2495059967,B,no,none,Low,Good,650.0,1.0,1.0,1.0,3.5
62,9,female,21,0.577189922333,C,no,none,Low,Bad,650.0,1.0,1.0,1.0,3.5
63,9,female,21,0.386413812637,B,no,none,Low,Good,650.0,1.0,1.0,1.0,3.5
64,9,female,21,0.910995006561,D,yes,Defect,High,Good,600.0,1.0,1.0,1.0,3.5
65,9,female,21,1.42537283897,D,yes,Defect,High,Good,550.0,1.0,1.0,1.0,3.5
66,9,female,21,0.55256819725,D,yes,Cooperate,High,Good,650.0,1.0,1.0,1.0,3.5
67,9,female,21,0.826607942581,C,no,none,Low,Bad,650.0,1.0,1.0,1.0,3.5
68,9,female,21,0.666899204254,D,yes,Cooperate,High,Good,750.0,1.0,1.0,1.0,3.5
69,9,female,21,0.775933027267,D,yes,Cooperate,High,Good,850.0,1.0,1.0,1.0,3.5
70,9,female,21,0.745351791382,D,yes,Defect,High,Good,800.0,1.0,1.0,1.0,3.5
71,9,female,21,0.757277965546,C,no,none,Low,Bad,800.0,1.0,1.0,1.0,3.5
72,9,female,21,0.664021015167,B,no,none,Low,Good,800.0,1.0,1.0,1.0,3.5
73,9,female,21,0.478538036346,B,no,none,Low,Good,800.0,1.0,1.0,1.0,3.5
74,9,female,21,0.88409781456,D,yes,Cooperate,High,Good,900.0,1.0,1.0,1.0,3.5
75,9,female,21,0.97108912468,C,no,none,Low,Bad,900.0,1.0,1.0,1.0,3.5
76,9,female,21,1.05534601212,A,no,none,High,Bad,900.0,1.0,1.0,1.0,3.5
77,9,female,21,1.0073029995,B,no,none,Low,Good,900.0,1.0,1.0,1.0,3.5
78,9,female,21,0.977396011353,C,no,none,Low,Bad,900.0,1.0,1.0,1.0,3.5
79,9,female,21,0.949058055878,A,no,none,High,Bad,900.0,1.0,1.0,1.0,3.5
80,9,female,21,0.490715026855,B,no,none,Low,Good,900.0,1.0,1.0,1.0,3.5
81,9,female,21,0.411930084229,B,no,none,Low,Good,900.0,1.0,1.0,1.0,3.5
82,9,female,21,0.427716970444,C,no,none,Low,Bad,900.0,1.0,1.0,1.0,3.5
83,9,female,21,0.867146968842,D,yes,Cooperate,High,Good,1000.0,1.0,1.0,1.0,3.5
84,9,female,21,1.45724701881,B,no,none,Low,Good,1000.0,1.0,1.0,1.0,3.5
